generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1787552969-sTb1AGLAihHP5XVVq3mf,2026-08-24 06:29:29.346,0.00007,,,,0,196,9,0,0,deepseek/deepseek-chat-v3,DeepInfra,standard,false,true,,stop,stop,589,467,false,Nexus-Key,Aider
gen-1787552968-dTlSevRlUcX5HFk1sVHw,2026-08-24 06:29:28.728,0.003797,,,,0,11055,292,0,0,deepseek/deepseek-chat-v3,DeepInfra,standard,false,true,,stop,stop,10398,794,false,Nexus-Key,Aider
gen-1787552967-WqWZnAVw1ipyzcSM3SPP,2026-08-24 06:29:27.475,0.000683,,,,0,2107,10,0,0,deepseek/deepseek-chat-v3,DeepInfra,standard,false,true,,stop,stop,591,342,false,Nexus-Key,Aider
gen-1787552966-QgOxChYbcF3vBCewx4UM,2026-08-24 06:29:26.164,0.000069,,,,0,191,9,0,0,deepseek/deepseek-chat-v3,DeepInfra,standard,false,true,,stop,stop,925,709,false,Nexus-Key,Aider
gen-1787552947-IJJwaojQD7bJTi2seK7x,2026-08-24 06:29:07.562,0.017764,,,,0,67125,473,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,17269,4797,false,Nexus-Key,Aider
gen-1787552943-uwsc77fTGOVv12KwXpYV,2026-08-24 06:29:03.783,0.000075,,,,0,213,8,0,0,deepseek/deepseek-chat-v3,DeepInfra,standard,false,true,,stop,stop,666,345,false,Nexus-Key,Aider
gen-1787552942-aa76hD5CkzGCurnajMbs,2026-08-24 06:29:02.515,0.003104,,,,0,9333,132,0,0,deepseek/deepseek-chat-v3,DeepInfra,standard,false,true,,stop,stop,4782,1069,false,Nexus-Key,Aider
gen-1787552941-pEACyrweaMJLcO2mPAQp,2026-08-24 06:29:01.036,0.001068,,,,0,3291,17,0,0,deepseek/deepseek-chat-v3,DeepInfra,standard,false,true,,stop,stop,668,367,false,Nexus-Key,Aider
gen-1787552938-wa38l05VWnXzPxdZRft7,2026-08-24 06:28:58.290,0.000069,,,,0,210,15,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1868,1868,false,Nexus-Key,Aider
gen-1787552898-2d3fopLuC0iTMN53uuTa,2026-08-24 06:28:18.660,0.017946,,,,0,64852,1219,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,38961,3015,false,Nexus-Key,Aider
